"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@osborncorrie @RodneyDavis @MRI_Decatur That's because the Obamacare wasn't working. It was a complete failure.",FALSE,0,"osborncorrie",2019-04-23 16:17:43,FALSE,"1120712417875562496","1120723434445639680","2911161098","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CashCribbet",0,FALSE,FALSE,NA,NA
"RT @RodneyDavis: I always enjoy visiting Macon Resources Inc. and seeing all the new things going on at the facility, including license pla…",FALSE,0,NA,2019-04-23 15:55:54,FALSE,NA,"1120717945053884416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JebLadat",3,TRUE,FALSE,NA,NA
"RT @CashCribbet: @RnC_for_pres @RodneyDavis Game over ! Trump 2020 #MAGA https://t.co/7PkgfRIwQK",FALSE,0,NA,2019-04-23 15:55:01,FALSE,NA,"1120717720834600960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","patriot101",3,TRUE,FALSE,NA,NA
"RT @RodneyDavis: Congrats to Lily Brown and Nicole Sheafe on their acceptance to the Navy and Air Force Academies. It was an honor to nomin…",FALSE,0,NA,2019-04-23 15:46:19,FALSE,NA,"1120715534306246658",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Emma_Grace728",5,TRUE,FALSE,NA,NA
"RT @osborncorrie: @DailyLibber @RodneyDavis Oh he works. But for the rich https://t.co/A1PtE8BxXG",FALSE,0,NA,2019-04-23 15:42:45,FALSE,NA,"1120714635500503040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JudeKrush",1,TRUE,FALSE,NA,NA
"@DailyLibber @RodneyDavis Oh he works. But for the rich https://t.co/A1PtE8BxXG",FALSE,4,"DailyLibber",2019-04-23 15:34:46,FALSE,"1120711102403436545","1120712625183232000","837821790638460929","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osborncorrie",1,FALSE,FALSE,NA,NA
"@RodneyDavis Never forget. Never forget @MRI_Decatur on May 4th, 2017 Rodney voted to repeal healthcare then cheere… https://t.co/idTNFf0iYm",FALSE,4,"RodneyDavis",2019-04-23 15:33:56,TRUE,"1120710076644380673","1120712417875562496","993153006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osborncorrie",2,FALSE,FALSE,NA,NA
"@RodneyDavis When do you work?",FALSE,1,"RodneyDavis",2019-04-23 15:28:43,FALSE,"1120710076644380673","1120711102403436545","993153006","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DailyLibber",0,FALSE,FALSE,NA,NA
"@RodneyDavis And picking up the check?",FALSE,3,"RodneyDavis",2019-04-23 15:25:03,FALSE,"1120710076644380673","1120710181669625856","993153006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mesosuchus",0,FALSE,FALSE,NA,NA
"RT @RodneyDavis: Although this particular pothole helped save a life, we can’t let it stop us from getting an #infrastructure bill through…",FALSE,0,NA,2019-04-23 14:53:14,FALSE,NA,"1120702174999261185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TransportGOP",2,TRUE,FALSE,NA,NA
"HOW WILL WE PAY FOR IT, @RodneyDavis???@Hot_Rod_IL13 @BetsyforIL 
#twill #il13th #illinois 

https://t.co/1vkT5E8JmA",FALSE,4,NA,2019-04-23 14:49:20,FALSE,NA,"1120701193234284544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DonGerard",2,FALSE,FALSE,NA,NA
"@_GreatBike_ @RodneyDavis Liars and cheaters are never likable......",FALSE,1,"_GreatBike_",2019-04-23 14:48:14,FALSE,"1120518038309212162","1120700916049616901","93801030","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ball_kirby",0,FALSE,FALSE,NA,NA
"RT @_GreatBike_: If we took a random sample of @RodneyDavis' policy tweets &amp; fact checked them to quantify his lie rate, what % do you thin…",FALSE,0,NA,2019-04-23 14:44:08,FALSE,NA,"1120699883135152128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndivisibleIL",5,TRUE,FALSE,NA,NA
"@funnygirlescope @_GreatBike_ @RodneyDavis Ok.",FALSE,0,"funnygirlescope",2019-04-23 14:43:41,FALSE,"1120699512266399746","1120699768609693696","16701609","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelLillich",0,FALSE,FALSE,NA,NA
"@MichaelLillich @_GreatBike_ @RodneyDavis I am sot you had that experience, I didn't have any issues.",FALSE,0,"MichaelLillich",2019-04-23 14:43:26,FALSE,"1120698471915323392","1120699707494412289","865710272174055426","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",0,FALSE,FALSE,NA,NA
"@MichaelLillich @_GreatBike_ @RodneyDavis I get that, but try to tag her at least",FALSE,0,"MichaelLillich",2019-04-23 14:42:39,FALSE,"1120699368061927426","1120699512266399746","865710272174055426","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","funnygirlescope",0,FALSE,FALSE,NA,NA
"@funnygirlescope @_GreatBike_ @RodneyDavis And why wouldn’t she be following RD’s tweets? Doesn’t she want to know… https://t.co/FJSCgt7mkQ",FALSE,0,"funnygirlescope",2019-04-23 14:42:05,TRUE,"1120694546969575424","1120699368061927426","16701609","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelLillich",0,FALSE,FALSE,NA,NA
"RT @CU_Indivisible: .@RodneyDavis is going to try and hang impeachment around @BetsyforIL's neck because it's easier than explaining why he…",FALSE,0,NA,2019-04-23 14:42:04,FALSE,NA,"1120699364564000768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndivisibleSPI",15,TRUE,FALSE,NA,NA
"@funnygirlescope @_GreatBike_ @RodneyDavis I contacted her in 2016 by email several times and by phone. I do media… https://t.co/QPRoaqMQhT",FALSE,0,"funnygirlescope",2019-04-23 14:38:31,TRUE,"1120694546969575424","1120698471915323392","16701609","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelLillich",0,FALSE,FALSE,NA,NA
"RT @RodneyDavis: Although this particular pothole helped save a life, we can’t let it stop us from getting an #infrastructure bill through…",FALSE,0,NA,2019-04-23 14:36:46,FALSE,NA,"1120698028770439168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kjboies",2,TRUE,FALSE,NA,NA
